City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,lethem,3.3803,-59.7968,23.730000000000018,82,39,5.09,GY,1707273344
167,misratah,32.3754,15.0925,13.639999999999986,53,95,3.78,LY,1707273344
168,benjamin constant,-4.3831,-70.0311,22.220000000000027,98,100,0.95,BR,1707273344
169,nganjuk,-7.6051,111.9035,26.279999999999973,79,99,1.28,ID,1707273344
170,keren,15.7778,38.4581,13.689999999999998,81,59,1.52,ER,1707273345
171,geraldton,-28.7667,114.6,33.379999999999995,12,0,8.75,AU,1707273345
172,codrington,-38.2667,141.9667,18.160000000000025,53,52,5.47,AU,1707273345
173,malango,-2.9627,119.9001,25.25,69,100,0.81,ID,1707273056
174,akjoujt,19.6969,-14.4164,19.480000000000018,9,50,5.67,MR,1707273346
175,ebon,4.582,168.6964,26.399999999999977,79,68,7.42,MH,1707273346
176,sabang,5.8933,95.3214,26.029999999999973,76,17,6.3,ID,1707273347
177,hithadhoo,-0.6,73.0833,26.470000000000027,74,34,3.0,MV,1707273347
178,najran,17.4924,44.1277,11.509999999999991,52,37,2.01,SA,1707273347
179,atafu village,-8.5421,-172.5159,27.160000000000025,79,93,10.39,TK,1707273347
180,avarua,-21.2078,-159.775,27.180000000000007,79,75,4.63,CK,1707273348
181,sambava,-14.2667,50.1667,21.629999999999995,90,100,1.69,MG,1707273348
182,fumel,44.4986,0.9651,4.699999999999989,92,43,1.56,FR,1707273348
183,ilebo,-4.3167,20.5833,19.670000000000016,97,83,0.82,CD,1707273348
184,tannum sands,-23.9504,151.3693,31.339999999999975,74,100,5.66,AU,1707273349
185,puerto aysen,-45.4,-72.7,6.4599999999999795,96,77,3.93,CL,1707273349
186,talnakh,69.4865,88.3972,-21.120000000000005,83,100,3.01,RU,1707273350
187,bontang,0.1333,117.5,26.829999999999984,72,73,1.24,ID,1707273350
188,hadibu,12.65,54.0333,22.54000000000002,74,43,3.4,YE,1707273350
189,alvorada,-12.48,-49.1247,21.95999999999998,86,99,1.48,BR,1707273350
190,nuriootpa,-34.4833,139.0,22.899999999999977,27,0,3.89,AU,1707273124
191,bikenibeu village,1.3673,173.1241,29.129999999999995,79,75,4.12,KI,1707273351
192,namibe,-15.1961,12.1522,23.0,82,100,2.36,AO,1707273351
193,lazaro cardenas,17.9583,-102.2,22.839999999999975,78,12,1.24,MX,1707273238
194,tsentoroy,43.0064,46.2231,-0.6999999999999886,99,100,1.96,RU,1707273351
195,hampton,37.0299,-76.3452,2.6000000000000227,66,75,7.72,US,1707273174
196,biograd na moru,43.9433,15.4519,8.569999999999993,92,100,4.19,HR,1707273352
197,burumburum,11.3911,8.7234,14.589999999999975,28,97,3.61,NG,1707273352
198,new norfolk,-42.7826,147.0587,20.769999999999982,29,39,2.56,AU,1707273353
199,independence,39.0911,-94.4155,8.730000000000018,52,0,3.09,US,1707273353
